x,y
262.354,90.171
58.571,357.793
210.552,263.524
156.131,260.007
135.543,388.24
290.945,118.321
213.111,246.082
652.7,76.549
-8.504,258.571
235.079,321.824
101.957,84.01
287.744,157.627
88.761,122.196
314.728,356.164
19.784,341.25
230.795,81.511
591.215,324.134
303.264,65.914
158.581,280.473
136.137,44.083
67.682,41.553
89.05,97.105
329.961,346.474
661.827,92.871
412.784,266.261
134.992,263.207
422.134,348.136
373.216,278.534
259.513,191.36
127.102,249.78
154.779,328.419
92.589,276.64
417.14,277.129
579.435,187.425
518.508,68.554
572.851,157.562
342.474,160.812
438.015,126.35
188.802,248.629
115.219,42.003
48.523,64.932
72.102,237.67
543.642,177.392
458.341,100.927
284.245,55.888
334.375,349.767
114.846,285.118
163.017,70.991
103.354,123.263
457.569,104.971
366.965,74.883
419.883,255.8
375.139,301.505
584.425,58.785
375.211,46.021
237.172,313.0
140.617,60.268
34.231,82.947
272.811,300.008
6.616,343.724
550.248,99.486
242.58,287.782
504.638,189.078
201.32,65.364
237.438,56.357
567.134,300.235
130.872,339.644
286.505,71.253
179.139,43.25
617.838,312.832
449.538,354.793
399.476,235.348
408.134,59.736
607.156,111.401
201.569,71.87
188.797,60.082
151.894,250.899
238.607,266.005
535.787,225.041
245.97,263.519
200.518,198.715
25.479,47.358
515.932,249.511
615.141,243.03
140.672,80.619
378.635,69.319
596.064,165.176
571.06,248.6
23.082,266.379
321.694,77.988
569.412,242.476
218.97,305.964
107.921,222.048
297.835,67.181
325.177,83.939
469.998,375.874
220.428,313.084
607.683,66.49
487.864,272.619
350.041,134.134
360.49,384.713
588.879,372.549
588.009,123.56
107.0,32.453
546.715,329.548
131.931,248.275
452.998,51.292
589.203,336.321
141.882,268.692
192.752,379.25
465.598,363.084
338.721,396.699
182.163,71.2
340.825,121.807
177.978,273.08
376.251,224.465
100.636,259.443
78.089,133.201
319.289,366.806
218.0,143.919
286.967,197.154
222.393,272.812
591.31,193.986
339.158,284.166
623.219,305.877
39.942,400.648
543.976,300.678
564.055,289.57
510.266,176.708
197.814,238.284
363.942,162.8
294.109,145.416
92.64,276.535
67.241,139.637
69.278,230.043
53.404,157.781
298.562,352.587
370.198,147.211
410.566,150.155
308.256,131.371
560.543,332.792
303.493,146.704
35.528,373.764
279.908,318.933
167.759,84.23
236.231,120.907
73.165,275.942
343.432,76.035
72.767,232.056
337.763,377.112
591.583,135.695
108.995,242.322
354.431,154.18
426.569,292.288
618.964,237.642
583.629,134.659
475.351,58.883
410.948,140.93
577.388,203.809
417.878,243.927
209.554,126.396
590.308,257.927
134.506,369.592
236.713,198.396
168.987,52.087
278.406,121.098
188.463,145.311
188.224,243.835
569.99,74.305
639.11,113.093
558.189,126.168
85.934,153.607
193.434,110.688
493.692,171.008
238.345,129.315
548.056,350.894
204.189,380.708
125.304,150.385
261.03,134.177
270.702,145.528
617.134,288.27
98.314,220.308
430.08,159.118
397.185,64.45
618.385,223.074
423.856,268.434
339.54,157.69
440.086,48.338
391.99,284.967
585.344,76.08
74.716,336.516
652.19,72.131
179.144,272.287
183.093,53.559
236.597,62.431
671.298,34.433
301.531,157.06
345.714,106.261
156.02,286.899
49.475,337.963
269.589,134.532
106.155,69.79
562.071,304.633
77.439,385.48
44.016,37.181
38.12,238.344
367.019,309.686
525.272,172.172
230.828,367.516
162.765,322.262
351.754,314.873
654.864,69.618
384.055,148.366
244.203,148.478
157.608,86.313
17.004,379.407
235.668,124.417
26.6,53.728
373.213,80.433
26.562,246.667
147.966,252.324
218.144,236.644
107.836,81.666
442.749,347.554
94.872,76.19
569.461,109.219
120.312,61.913
633.309,160.037
271.061,73.741
292.057,142.482
81.383,377.767
101.404,261.572
573.859,229.129
42.703,97.108
350.196,269.322
120.885,51.181
539.503,93.736
263.015,380.618
407.762,76.514
561.578,55.329
489.217,264.03
512.84,54.281
342.009,50.023
